フレンズID,わざ種別,効果種別,威力,対象,条件,効果ターン,発動率,発動回数,備考
アフリカオオコノハズク,キセキとくせい,被ダメージ減少,0.05,味方全体,マイペース属性の味方,-,-,-,
マーゲイ,たいきスキル,被ダメージ減少,0.3,自身,-,2ターン,1,2回,
マーゲイ,とくせい,被ダメージ減少,0.15,自身,たいりょく60%以下,-,-,-,
カピバラ,とくせい,被ダメージ減少,0.2,自身,-,-,-,-,
チンチラ,たいきスキル,被ダメージ減少,0.1,自身,-,2ターン,0.8,2回,
チンチラ,キセキとくせい,被ダメージ減少,0.2,自身,フレンドリー属性の相手,-,-,-,
オオセンザンコウ,とくせい,被ダメージ減少,0.2,自身,たいりょく50%以下,-,-,-,
オオセンザンコウ,キセキとくせい,被ダメージ減少,0.1,自身,-,-,-,-,
キングコブラ,とくせい,被ダメージ減少,0.6,自身,どく状態の相手,-,-,-,
ヘラジカ,たいきスキル,被ダメージ減少,0.15,自身,-,3ターン,1,2回,
ヘラジカ,とくせい,被ダメージ減少,0.08,味方全体,フレンドリー属性の味方,-,-,-,
ヘラジカ,キセキとくせい,被ダメージ減少,0.05,味方全体,フレンドリー属性の味方,-,-,-,
アルパカ・ワカイヤ,けものミラクル,被ダメージ減少,0.35,味方全体,ふっかつの対象は除く,2ターン,-,-,
ライオン,キセキとくせい,被ダメージ減少,0.1,味方全体,リラックス属性の味方,-,-,-,
ハシビロコウ,たいきスキル,被ダメージ減少,0.15,味方全体,-,2ターン,0.7,2回,
ヒグマ,とくせい,被ダメージ減少,0.08,自身,たいりょく80%以下,-,-,-,
シロナガスクジラ,たいきスキル,被ダメージ減少,0.17,自身,-,2ターン,1,2回,
シロナガスクジラ,キセキとくせい,被ダメージ減少,0.5,自身,たいりょく100%,-,-,-,
アライグマ,たいきスキル,被ダメージ減少,0.5,自身,-,2ターン,1,1回,
アライグマ,とくせい,被ダメージ減少,0.06,自身,-,-,-,-,
アライグマ,とくせい,被ダメージ減少,0.1,自身,たいりょく40%以下,-,-,-,
アライグマ,キセキとくせい,被ダメージ減少,0.1,自身,たいりょく40%以下,-,-,-,
ギンギツネ,とくせい,被ダメージ減少,0.1,自身,たいりょく50%以下,-,-,-,
スナネコ,たいきスキル,被ダメージ減少,0.15,自身,-,2ターン,1,2回,
スナネコ,キセキとくせい,被ダメージ減少,0.15,自身,-,-,-,-,
トナカイ,たいきスキル,被ダメージ減少,0.1,ランダムな味方2体,2効果からランダム,2ターン,0.6,3回,
トナカイ,とくせい,被ダメージ減少,0.1,自身,地形が寒冷地,-,-,-,
オオタカ,たいきスキル,被ダメージ減少,0.13,自身,-,2ターン,0.5,∞,
ヒツジ,たいきスキル,被ダメージ減少,0.1,味方前列,-,1ターン,0.5,5回,
トキ,キセキとくせい,被ダメージ減少,0.08,味方全体,ラブリー属性の味方,-,-,-,
カリフォルニアラッコ,けものミラクル,被ダメージ減少,0.4,味方全体,-,2ターン,-,-,
カリフォルニアラッコ,たいきスキル,被ダメージ減少,0.17,自身,-,2ターン,0.5,3回,
カリフォルニアラッコ,たいきスキル,被ダメージ減少,0.08,味方全体,-,2ターン,0.5,3回,
クロサイ,たいきスキル,被ダメージ減少,0.15,自身,-,3ターン,1,1回,
アフリカゾウ,たいきスキル,被ダメージ減少,0.1,自身,-,2ターン,0.5,∞,
ハクトウワシ,たいきスキル,被ダメージ減少,0.13,自身,-,2ターン,0.2,∞,
マレーバク,とくせい,被ダメージ減少,0.1,自身,-,-,-,-,
アメリカビーバー,たいきスキル,被ダメージ減少,0.13,自身,-,2ターン,1,3回,
オオアルマジロ,たいきスキル,被ダメージ減少,0.25,味方全体,-,2ターン,0.5,2回,
オオアルマジロ,とくせい,被ダメージ減少,0.16,自身,たいりょく70%以下,-,-,-,
ダチョウ,たいきスキル,被ダメージ減少,0.09,ランダムな味方3体,3効果からランダム,2ターン,0.2,∞,
チャップマンシマウマ,キセキとくせい,被ダメージ減少,0.15,味方全体,ギブアップ中ではない味方が5人,-,-,-,
ヤマバク,けものミラクル,被ダメージ減少,0.22,味方全体,-,2ターン,-,-,
ヤマバク,たいきスキル,被ダメージ減少,0.18,味方全体,-,2ターン,0.7,2回,
ドール,とくせい,被ダメージ減少,0.09,味方全体,たいりょく30%以下,-,-,-,
オカピ,なないろとくせい,全体攻撃による被ダメージ減少,0.15,味方全体,ファニー属性の味方,-,-,-,
ビャクダ,キセキとくせい,全体攻撃による被ダメージ減少,0.2,相手全体,フレンズ戦~~自身がギブアップ状態でない,-,-,-,
アカカンガルー,とくせい,全体攻撃による被ダメージ減少,0.15,味方全体,リラックス属性の味方,-,-,-,
ワオキツネザル,とくせい,全体攻撃による被ダメージ減少,0.15,味方全体,マイペース属性の味方,-,-,-,
ホンドテン,キセキとくせい,全体攻撃による被ダメージ減少,0.15,味方全体,アクティブ、リラックス~~属性の味方,-,-,-,
ホンドテン,キセキとくせい,全体攻撃による被ダメージ減少,0.15,味方全体,アクティブ属性の味方,-,-,-,
ホンドテン,とくせい,全体攻撃による被ダメージ減少,0.05,味方全体,アクティブ、リラックス~~属性の味方,-,-,-,
ホンドテン,とくせい,全体攻撃による被ダメージ減少,0.1,味方全体,アクティブ属性の味方,-,-,-,
ニホンジカ,とくせい,全体攻撃による被ダメージ減少,0.15,味方全体,ラブリー属性の味方,-,-,-,
シンリンオオカミ,とくせい,全体攻撃による被ダメージ減少,0.15,味方全体,-,-,-,-,
カモメ,とくせい,全体攻撃による被ダメージ減少,0.15,味方全体,ファニー属性の味方,-,-,-,
ルリコンゴウインコ,とくせい,全体攻撃による被ダメージ減少,0.2,味方全体,マイペース属性の味方,-,-,-,
キジ,キセキとくせい,全体攻撃による被ダメージ減少,0.25,味方全体,ラブリー属性の味方,-,-,-,
フクロネコ,キセキとくせい,全体攻撃による被ダメージ減少,0.2,味方全体,フレンドリー属性の味方,-,-,-,
トラ,とくせい,全体攻撃による被ダメージ減少,0.2,味方全体,-,-,-,-,
ダイアウルフ,とくせい,全体攻撃による被ダメージ減少,0.2,味方全体,アクティブ属性の味方,-,-,-,
アカギツネ,とくせい,全体攻撃による被ダメージ減少,0.6,自身,-,-,-,-,
アードウルフ,とくせい,全体攻撃による被ダメージ減少,0.2,味方全体,-,-,-,-,
バシロサウルス・イシス,とくせい,攻撃命中率増加,0.1,味方全体,マイペース属性の味方,-,-,-,
カワラバト,キセキとくせい,攻撃命中率増加,0.15,味方全体,マイペース属性の味方,-,-,-,
クロヒョウ,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
クロヒョウ,なないろとくせい,攻撃命中率増加,0.1,自身,たいりょくが40%以下,-,-,-,
ナミチスイコウモリ,なないろとくせい,攻撃命中率増加,0.15,味方全体,ラブリー属性の味方,-,-,-,
イヌワシ,とくせい,攻撃命中率増加,0.1,味方全体,ファニー属性の味方,-,-,-,
ホルスタイン,なないろとくせい,攻撃命中率増加,0.1,自身,たいりょく50%以上,-,-,-,
山本五郎左衛門,たいきスキル,攻撃命中率増加,0.15,自身,-,3ターン,1,1回,
タイパン,たいきスキル,攻撃命中率増加,0.15,自身,-,2ターン,1,2回,
エナガ,とくせい,攻撃命中率増加,0.15,味方全体,フレンドリー属性の味方,-,-,-,
ゲンブ,なないろとくせい,攻撃命中率増加,0.15,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
ホッキョクグマ,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
黒龍,けものミラクル,攻撃命中率増加,0.54,味方全体,ファニー、ラブリー属性の味方,3ターン,-,-,必要MP200
ホワイトサーバル(桃),キセキとくせい,攻撃命中率増加,0.1,自身を除く~~味方全体,ラブリー、ファニー属性の味方~~自身がギブアップ状態でない,-,-,-,
トラ,なないろとくせい,攻撃命中率増加,0.15,自身,たいりょく30%以下,-,-,-,
マヌルネコ,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
アカギツネ,なないろとくせい,攻撃命中率増加,0.15,味方全体,たいりょくが50%以上,-,-,-,
メガテリウム,キセキとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
アリツカゲラ,なないろとくせい,攻撃命中率増加,0.1,味方全体,アクティブ属性の味方,-,-,-,
トムソンガゼル,なないろとくせい,攻撃命中率増加,0.15,自身,-,-,-,-,
プロングホーン,なないろとくせい,攻撃命中率増加,0.1,味方全体,アクティブ属性の味方,-,-,-,
アミメキリン,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
【青い瞳の迷い猫】マヌルネコ,キセキとくせい,攻撃命中率増加,0.15,味方全体,-,-,-,-,
【青い瞳の迷い猫】マヌルネコ,けものミラクル,攻撃命中率増加,0.24,味方全体,-,3ターン,-,-,必要MP110
【ジっとできない湿地のハンター】ハシビロコウ,とくせい,攻撃命中率増加,0.1,味方全体,ファニー属性の味方,-,-,-,
クラハシコウ,キセキとくせい,攻撃命中率増加,0.2,自身を除く~~味方全体,-,-,-,-,
マネキネコ,けものミラクル,攻撃命中率増加,0.24,味方全体,ラブリー属性の味方,3ターン,中確率,-,必要MP140
フォークランドカラカラ,なないろとくせい,攻撃命中率増加,0.15,自身,たいりょくが50%以上,-,-,-,
麒麟,なないろとくせい,攻撃命中率増加,0.15,味方全体,-,-,-,-,
ビャッコ,なないろとくせい,攻撃命中率増加,0.1,自身を除く~~味方全体,自身がギブアップ状態でない,-,-,-,
ニルガイ,けものミラクル,攻撃命中率増加,0.19,味方全体,リラックス属性の味方,2ターン,-,-,必要MP120
カモノハシ,キセキとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
オオフウチョウ,なないろとくせい,攻撃命中率増加,0.1,味方全体,フレンドリー属性の味方~~たいりょくが50%以上,-,-,-,
シーサーバル・レフティ,なないろとくせい,攻撃命中率増加,0.1,味方全体,自身がギブアップ状態でない~~フレンドリー属性の味方,-,-,-,
G・ロードランナー,なないろとくせい,攻撃命中率増加,0.1,味方全体,-,-,-,-,
イッカク,なないろとくせい,攻撃命中率増加,0.15,自身,-,-,-,-,
スペインオオヤマネコ,けものミラクル,攻撃命中率増加,0.19,味方全体,-,3ターン,-,-,必要MP100
キタキツネ,なないろとくせい,攻撃命中率増加,0.1,自身,地形が寒冷地,-,-,-,
オオアリクイ,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
ハゲワシ,たいきスキル,攻撃命中率増加,0.1,自身,-,2ターン,1,2回,
ピーチパンサー,キセキとくせい,攻撃命中率増加,0.1,味方全体,ファニー属性の味方,-,-,-,
アジアゴールデンキャット,たいきスキル,攻撃命中率増加,0.1,自身,-,2ターン,1,1回,
アメリカビーバー,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
キットギツネ,とくせい,攻撃命中率増加,0.15,自身,-,-,-,-,
エゾユキウサギ,キセキとくせい,攻撃命中率増加,0.15,自身,-,-,-,-,
バンテン,たいきスキル,攻撃命中率増加,0.1,自身,-,3ターン,0.7,3回,
ホンドテン,たいきスキル,攻撃命中率増加,0.2,自身,-,3ターン,1,1回,
ホンドテン,とくいわざ,攻撃命中率増加,0.05,自身,-,3ターン,-,-,
ニホンアナグマ,キセキとくせい,攻撃命中率増加,0.15,味方全体,フレンドリー属性の味方~~たいりょく50%以下,-,-,-,
ヘラジカ,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
マメジカ,けものミラクル,攻撃命中率増加,0.15,味方全体,マイペース属性の味方~~自身がギブアップ状態でない,-,-,-,
イイズナ,たいきスキル,攻撃命中率増加,0.15,自身,-,2ターン,1,1回,
ニホンジカ,キセキとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
ツンドラオオカミ,とくせい,攻撃命中率増加,0.1,味方全体,マイペース属性の味方~~ギブアップ中ではない~~味方が3人以上,-,-,-,
カタカケフウチョウ,なないろとくせい,攻撃命中率増加,0.15,自身,-,-,-,-,
アイベックス,とくせい,攻撃命中率増加,0.15,自身,-,-,-,-,
シンリンオオカミ,とくせい,攻撃命中率増加,0.08,自身,-,-,-,-,
クビワペッカリー,キセキとくせい,攻撃命中率増加,0.1,味方全体,ラブリー属性の味方,-,-,-,
クビワペッカリー,たいきスキル,攻撃命中率増加,0.1,味方全体,ラブリー属性の味方,2ターン,1,2回,
ウミウ,とくせい,攻撃命中率増加,0.1,自身,地形がみずべ,-,-,-,
インパラ,とくせい,攻撃命中率増加,0.2,自身,フレンズ戦,-,-,-,
オオフラミンゴ,なないろとくせい,攻撃命中率増加,0.05,味方全体,フレンドリー属性の味方~~自身がギブアップ状態でない,-,-,-,
チーター,なないろとくせい,攻撃命中率増加,0.1,自身,リラックス属性の相手,-,-,-,
カラカル(桃),キセキとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
N・ハイランドワイルドドッグ,けものミラクル,攻撃命中率増加,0.29,味方全体,-,2ターン,-,-,必要MP80
ツチノコ,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
ツチノコ,なないろとくせい,攻撃命中率増加,0.05,味方全体,マイペース属性の味方,-,-,-,
メンダコ,キセキとくせい,攻撃命中率増加,0.2,自身,-,-,-,-,
マンドリル,けものミラクル,攻撃命中率増加,0.24,自身,-,5ターン,中確率,-,必要MP100
ハシブトガラス,なないろとくせい,攻撃命中率増加,0.1,自身,-,-,-,-,
アルパカ・スリ,とくせい,攻撃命中率増加,0.1,味方全体,フレンドリー属性の味方,-,-,-,
カリフォルニアラッコ,キセキとくせい,攻撃命中率増加,0.2,味方全体,-,-,-,-,
オセロット,キセキとくせい,攻撃命中率増加,0.3,味方全体,自身がすやすや状態のとき,-,-,,
